"","title","docid","categories","day_of_month","month","year","correction_data","locations","content"
"84","Disinheritance Law Kindles Passion in Louisiana",305606,"|u.s.",1,12,1989,"19891201T000000","|LOUISIANA"," 
 Under mandate of the Legislature, legal scholars here are polishing a new state law that they detest and believe to be unconstitutional. Their task is to mesh the new law with the complex state civil code. 
 Nevertheless the scholars believe the new law, scheduled to take effect on July 1, 1990, will tear at family ties, add fuel to the fire in family disputes and create the potential of costly intrafamily litigation. 
 The law, which was passed last summer amid an acid debate that has not abated, permits parents to disinherit adult children for no reason. It also for the first time allows disinherited children to contest a will on the ground that the favored beneficiary had undue influence with the parent. 
 The new law's best-known champion is Chalin Perez Sr., the wealthy son of the Leander Perez, known as the dictator of Plaquemines Parish as late as the 1960's, who ran the isolated oil-rich region about 10 miles south of New Orleans like a feudal fiefdom. His son has been engaged in two generations of family feuds over power as well as inheritance. Skilled Lobbyist Enlisted 
 Mr. Perez hired a skilled lobbyist to promote the new law, and both were propelling forces in the Capitol as the bill inched its way through the Legislature with little public attention. 
 ''Greed, prejudice, jealousy, meanness and fear will henceforth have a much freer hand in influencing a parent's testamentary plans,'' said Cynthia Samuel, a Tulane law professor and one who is polishing the law. 
 The new law is a revision of a statute that lies at the heart of Louisiana's Napoleonic Code, the system of civil law in use here since 1825. The code has been under revision for years to modernize it. 
 The original statute stipulated that parents must leave a portion of their wealth to their progeny, one-fourth if there is one child and one-half if there are two or more children. Its proponents argue that this ''forced heirship'' law, along with the state's community property law, made Louisiana the fairest of all the states in the way family wealth was handed down from one generation to the next. 
 Under community property law, which is unchanged, family riches belong equally to husband and wife so that a spouse is free to distribute only one-half of the combined assets to his or her heirs. Proponents Claim Flexibility 
 In defense of the changes, proponents say the new law will give Louisianans more flexibility in how they choose to dispose of their estates. In the revision, the Legislature limited the forced heirship law to apply only to children under the age of 23 and to handicapped adult children. 
 Academicians and other legal experts believe the change has virtually destroyed the forced heirship concept, but feel the revision may not survive an attack on its constitutionality because it has introduced an age distinction. 
 In the meantime, under directive of the Legislature, members of the Louisiana State Law Institute, which includes lawyers, judges and academicians, are polishing the legislation's language. Many people who opposed the change continue to debate it, and some have indicated they will lobby for its repeal. 
 For years disgruntled parents have tried to abolish the law, but none as wealthy and canny as Mr. Perez, who learned the intricacies of Louisiana politics at the knee of his father, a master strategist who helped lead the fight against civil rights in the 1940's, 1950's and 1960's. 
 The bill's sponsor, State Senator Sydney Nelson, whose northern district borders East Texas and includes Shreveport, had tried for a decade to abolish the law. But this year he gained a strong ally in Mr. Perez and changed strategy. Rather than seeking outright abolition, Mr. Nelson proposed changing the law to exclude adult children. 
 Chalin Perez hired a prominent Louisiana lobbyist, E. L. (Bubba) Henry, former Speaker of the State House, who shepherded the bill to its final passage. 'He Knew How to Go After It' 
 ''Chalin is very bright and capable and when he wanted to get something done, he knew how to go after it,'' said State Representative Jim Donelon, a suburban lawyer who opposed the bill. Lobbyists ''like Bubba Henry,'' Mr. Donelon said, are usually employed ''by major corporations, by well-heeled types and not by mom-and-pop types.'' 
 Mr. Donelon said others favoring the bill included ''three dozen testators, each involved in some down-and-dirty family fight.'' Advocates also included The Shreveport Times, but the bill was barely noticed by many other newspapers until after it was enacted. 
 Mr. Donelon said he fought the bill because ''we have a system that has worked well for hundreds of years.'' He added, ''I am a card-carrying Republican who respects private property, but I'm also aware of the effectiveness of forced heirship in keeping litigation down as opposed to the other 49 states, which do not have this ancient law.'' 
 Professor Samuel of Tulane and other law professors who fought the change, testifying before legislative committees, say much of the world outside the United States has kept similar forced heirship laws. 
 ''This is an old legal institution that serves a new social purpose, guaranteeing that kids don't get divorced from their inheritance when their parents get divorced from each other,'' she said. ''Sometimes what's old has the wisdom of the ages.'' New Role Seen for Old Law 
 By the early 1900's, Louisiana's forced heirship law had become ''a little old-fashioned,'' said Mary Ann Glendon, a professor at Harvard Law School, but now ''with about 50 percent of all marriages ending in divorce, it has become modern again because of the changed circumstances.'' 
 Professor Glendon said that when a spouse remarries in other states, the children of the first marriage ''are apt not to see property that was accumulated during that marriage,'' adding, ''Louisiana enabled an older person to say to the second spouse 'the law requires me to leave a portion of my estate to my children.' '' 
 At a recent forum on the new law, Frederick Swaim, a professor at Loyola University's Law School here, said, ''We're going to have this thing litigated for centuries.'' 
 Another believer in the old law, Janice Barry, who left her job as staff lawyer in the State Attorney General's Office to raise a family, worked as an unpaid lobbyist against the bill. Mrs. Barry says she is prepared to lobby again for its repeal. 
 She recalled a brisk exchange with a legislator, who told her, ''This is my money, I made it and I can do what I want with it. 
 ''I told him,'' Mrs. Barry said, '' 'They're your children and you made them too and they have a claim.' ''  THE LAW"
"85","Review/Film; Spoofing the Unity of Art and Agony",307375,"|movies|arts",8,12,1989,"19891208T000000",NA," 
 ''Dear Samuel Beckett,'' a wild-haired, whiny-voiced, starving young dramatist writes to his idol. In view of the ''uncanny kinship'' between ''Waiting for Godot'' and ''Despair,'' the young man's own play about life and death (''Life, life, life, death, death, death,'' chants a black-robed chorus), perhaps the two men might collaborate on a future project? He signs off: ''Hoping your next play is a hit. Sincerely, Ira Ellis.'' 
 Ira is the persona adopted by Todd Solondz, the 30-year-old writer, director and star of ''Fear, Anxiety and Depression,'' an amiable, uninspired spoof of the notion that agony and art go together. Nothing that follows is quite as fresh as this opening notion of the stern, reclusive Beckett hooked up with the eager-to-please and quick-to-suffer Ira, the latest addition to the lengthening list of characters inspired by Woody Allen. (Why else would Mr. Solondz ape Mr. Allen's black-rimmed glasses, rumpled plaid shirts and stammering delivery?) Instead, Mr. Solondz's first film goes on to parody the pretensions of the East Village art world, an easy target whose time has passed. 
 Mr. Solondz, who just a couple of years ago was a student at the New York University Film School, uses his film's episodic structure to good advantage. As Ira drifts through encounters with his best friend and with assorted girlfriends manque, Mr. Solondz keeps his eye on loopy, revealing details. His friend Jack is a handsome, pretentious artist who uses white paint to write ''This is not white'' on a canvas, then calls Ira derivative. Ira's sometime girlfriend is Sharon, a chubby mass of insecurities with a lime-green cape and a Snoopy on her handbag; they seem made for each other and dance through a romantic montage in which they gaze over a bridge into heavy traffic and sit in the rubble of an abandoned building. But Sharon (played with comic flair by Jill Wisoff) can discover her great gifts as a mime only after Ira leaves her for Junk, a performance artist who wears blue, green or yellow lipstick and whose art involves hammering nails into a corpse at the Palladium. 
 Each of the set pieces is clever without being strikingly sharp or original. Mr. Solondz slyly acknowledges his debts to other film makers; Junk works in a copy shop, like the heroine of ''Smithereens,'' Susan Seidelman's own first film about down-and-out downtown. And Sharon's plaintive love song to ''I, I, I'' (her pet name for Ira) echoes ''Suddenly Seymour'' from ''Little Shop of Horrors.'' But that wry self-awareness is no substitute for the distinctive voice or vision that Mr. Solondz does not yet have. ''Fear, Anxiety and Depression,'' which opens today at the Quad Cinema, is the work of a gifted and still glib film maker.  WAITING FOR BECKETT - FEAR, ANXIETY AND DEPRESSION, directed and written by Todd Solondz; edited by Peter Austin, Emily Paine and Barry Rubinow; director of photography, Stefan Czapsky; production designer, Marek Dobrowolski; produced by Stanley J. Wlodkowski, Steve Golin and Sigurjorn Sighvatsson; released by Samuel Goldwyn Company. At the Quad Cinema, 13th Street, west of Fifth Avenue. Running time: 94 minutes. This film has no rating.  Ira Ellis...Todd Solondz  Sharon...Jill Wisoff  Janice...Alexandra Gersten  Jack...Max Cantor  Junk...Jane Hamper  Donny...Stanley Tucci"
"86","U.N.'s Secretary General Agrees To Accept Invitation to Albania",318192,"|world",19,1,1990,"19900119T000000","|ALBANIA"," 
 The United Nations Secretary General has agreed in principle to visit Albania, the last bastion of Stalinism in Europe and a nation accused of serious human rights abuses, diplomats and United Nations officials said today. 
 The Secretary General, Javier Perez de Cuellar, was invited by Foreign Minister Reis Malile of Albania when he visited the General Assembly in October. It was the first time Albania had invited the top United Nations official to make an official visit. The invitation will make Mr. Perez de Cuellar one of the most senior foreign visitors that Albania has received in recent years. 
 Albania's United Nations Representative, Bashkim Petarka, confirmed the invitation and the Secretary General's acceptance, saying the invitation represents the ''high esteem'' in which the Albanian Government holds Mr. Perez de Cuellar and its desire ''to cooperate very closely with all the work of the United Nations.'' 
 While a precise date has not been fixed, the most likely time for the visit would be in May, when the Secretary General is expected to travel to Czechoslovakia and Hungary, United Nations officials said. 
 Democratization Rejected 
 Albanian issued its invitation to the Secretary General before it publicly rejected the democratic changes sweeping the Soviet Union and Eastern Europe earlier this month and said it would remain faithful to its own brand of repressive Marxism. 
 The invitation also came before recent reports that the authorities have brutally suppressed riots and demonstrations inspired by the political changes in Eastern Europe. 
 In a New Year's address, the Albanian leader, Ramiz Alia, said the popular uprisings that have ended Communist Party control over much of Eastern Europe would not affect his country because the Government's strict Marxist line hads served it well. ''Therefore, just like yesterday and today, in the future, too, we shall pursue it loyally,'' he said. 
 When Albania celebrated its National Day on Jan. 11, the Communist Party's daily paper, Zeri i Popullit, accused Albanian exiles of fermenting discontent in the country and said they were trying to restore the monarchy. 
 The paper dismissed what it called ''the prescriptions of the capitalist road, of perestroika and bourgeois reformism,'' calling them ''unacceptable to our people and party.'' 
 Disturbances Reported 
 Earlier this month, Yugoslavian newspapers reported that a state of emergency had been declared in the northern town of Scutari after popular demonstrations there and that security was being stepped up around the homes of Albanian leaders in Tirana, the capital. 
 An Albanian border guard who escaped to Greece last week reported that the army and the police had fired on the demonstrators in Scutari and that disturbances had also occurred at Koritsa and Sarande. 
 Albania is under investigation by the United Nations Human Rights Commission. Human rights lawyers say further changes may be brought against the Government this year as a result of the recent disturbances. 
 Western diplomats believe Albania's decision to invite the Secretary General marks a further extension of the very gradual opening toward the outside world that has been under way in Europe's most isolated country since the death of its hard-line leader, Enver Hoxha, in 1985. 
 Some New Commercial Links 
 After having virtually no contact with the rest of the world for years, Albania has begun to develop limited commercial links with Austria, Italy, West Germany and Britain. 
 Last January it played host to a meeting of deputy foreign ministers of Balkan nations. Later this year the foreign ministers of these same Balkan nations - Greece, Turkey, Bulgaria, Yugoslavia and Rumania - will meet in Tirana. 
 When he addressed the General Assembly last October, Foreign Minister Malile stressed the country's commitment to what he called ''the process of Balkan cooperation,'' saying Albania now wants closer ties with its neighbors. But he devoted much of his speech to attacking Yugoslavia for persecuting ethnic Albanians. 
 Albania has also invited the heads of several specialized United Nations agencies to visit the country in recent years, including Dr. Nafis Sadik, who directs the United Nations family planning agency, and Edouard Saouma, Director General of the United Nations Food and Agriculture Organization. 
 UPHEAVAL IN THE EAST: ALBANIA"
"87","Baby's First-Year Costs Won't Approach $5,774",321691,"|opinion",30,1,1990,"19900130T000000",NA," 
 To the Editor: 
 I hope no readers really believe the American Demographics magazine estimate of $5,774 for baby's first year's costs (Week in Review, Dec. 31). As a college teacher and mother of five children born between 1962 and 1981, I have to say, ''Ridiculous!'' 
 Such costs might be incurred by double-income couples with no other children, no friends or family. If you have friends with children, you know babies don't need $233 worth of bedding and $995 worth of furniture. You borrow, you shop for used furniture or empty a few of your own drawers, you hem up a few sheets - you've got baby supplies. 
 The greatest expenses - day care ($2,184) and paper diapers ($570) -should be linked to the cost of both parents' working. Day care centers require paper diapers; day care centers also expose the baby to lots of germs (add here the $396 in medical bills). If you take care of the baby yourself, you save - right off the top - a fast $3,000 to $3,150 (allowing a little for shots and checkups). 
 And, if the mother decides to breast-feed the baby, she can chalk up another $855 saved because many experts agree that breast milk alone suffices the first year. 
 And toys? Why spend $199 on toys when babies can't tell the difference between the box the toy came in and the toy itself? Babies play with spoons, cloths, pans - things parents already have. Now we've cut $4,054 from the list. 
 Babies aren't expensive: ignorance is; trying to have it all is. The American Demographics magazine's list applies only to misinformed parents who decorate their babies with expensive items before leaving them in the care of strangers. For such parents, the baby-expense list might include the cost of therapy and special schools their usually less hardy offspring will need after a few years as a status symbol. 
 LAURA B. KENNELLY 
 Denton, Tex., Jan. 8, 1990"
"88","Credo Petroleum Corp.  reports earnings for Year to Oct 31",321709,"|business",30,1,1990,"19900130T000000",NA," 
 *3*** COMPANY REPORTS ** 
 *3* Credo Petroleum Corp. 
 Year to Oct 31 
 1989 
 1988 
 Revenue 
 1,701,000 
 1,196,000 
 Net inc 
 475,000 
 204,000 
 Share earns 
 .14 
 .06 
 Fiscal 1988 results have been restated for the adoption of accounting rule FASB 96. 
 *3*** COMPANY REPORTS ** 
 *3* Credo Petroleum Corp. 
 Year to Oct 31 
 1989 
 1988 
 Revenue 
 1,701,000 
 1,196,000 
 Net inc 
 475,000 
 204,000 
 Share earns 
 .14 
 .06 
 Fiscal 1988 results have been restated for the adoption of accounting rule FASB 96."
"89","Nets' Blaylock Sidelined With Broken Finger",323906,"|sports",6,2,1990,"19900206T000000",NA," 
 The Nets not only lost their ninth game in a row Sunday night when they were beaten by the Lakers by 121-105 at the Forum, but they also lost Mookie Blaylock. The point guard fractured the little finger on his left hand in two places in the second quarter when it got caught inside Michael Cooper's jersey while he was fouling the Los Angeles swingman. 
 There was no immediate estimate of how long Blaylock will be sidelined, but he will definitely miss tomorrow night's game against the Utah Jazz at Byrne Meadowlands Arena. 
 Roy Hinson, the Nets' power forward and second-leading scorer, was lost for the season last week. Hinson, who was averaging 15 points and 6.9 rebounds a game, underwent arthroscopic surgery last Thursday. 
 SPORTS PEOPLE: PRO BASKETBALL"
"90","Inter-Regional Fincl Gr reports earnings for Qtr to Dec 31",324304,"|business",7,2,1990,"19900207T000000",NA," 
 *3*** COMPANY REPORTS ** 
 *3* Inter-Regional Fincl Gr (NYSE) 
 Qtr to Dec 31 
 1989 
 1988 
 Revenue 
 86,475,000 
 67,563,000 
 Net inc 
 b287,000 
 c4,343,000 
 Share earns 
 .03 
 - 
 Shares outst 
 7,841,000 
 7,560,000 
 Yr rev 
 319,936,000 
 254,763,000 
 Net inc 
 b3,564,000 
 c6,838,000 
 Share earns 
 .43 
 - 
 Shares outst 
 7,717,000 
 7,554,000 
 *3*** COMPANY REPORTS ** 
 *3* Inter-Regional Fincl Gr (NYSE) 
 Qtr to Dec 31 
 1989 
 1988 
 Revenue 
 86,475,000 
 67,563,000 
 Net inc 
 b287,000 
 c4,343,000 
 Share earns 
 .03 
 - 
 Shares outst 
 7,841,000 
 7,560,000 
 Yr rev 
 319,936,000 
 254,763,000 
 Net inc 
 b3,564,000 
 c6,838,000 
 Share earns 
 .43 
 - 
 Shares outst 
 7,717,000 
 7,554,000 
 b-After extraordinary credits of $78,000, or 1 cent a share, for the quarter and $686,000, or 9 cents a share, for the year. 
 c-Net loss and after extraordinary credits of $112,000, or 2 cents a share, and $881,000, or 12 cents a share, for quarter and year, respectively. 
 The extraordinary credits were due to gains from debt repurchases and tax-loss carryforwards."
"91","Nobility Homes Inc. reports earnings for Year to Oct 28",324374,"|business",7,2,1990,"19900207T000000",NA," 
 *3*** COMPANY REPORTS ** 
 *3* Nobility Homes Inc. 
 Year to Oct 28 
 1989 
 1988 
 Sales 
 11,843,158 
 10,923,335 
 Net inc 
 b745,755 
 c1,229,239 
 Share earns 
 .64 
 - 
 b-After an extraordinary credit of $287,000, or 25 cents a share. 
 c-Net loss 
 *3*** COMPANY REPORTS ** 
 *3* Nobility Homes Inc. 
 Year to Oct 28 
 1989 
 1988 
 Sales 
 11,843,158 
 10,923,335 
 Net inc 
 b745,755 
 c1,229,239 
 Share earns 
 .64 
 - 
 b-After an extraordinary credit of $287,000, or 25 cents a share. 
 c-Net loss"
"92","Perrier Says Employees Failed to Change Filters",326864,"|business",15,2,1990,"19900215T000000",NA," 
 The contamination of Perrier sparkling water was caused when company employees failed to replace charcoal filters that screen out benzene, a chemical impurity in the natural gas present in the company's famous spring in southern France, Perrier officials said yesterday. 
 At a news conference in Paris, Frederik Zimmer, chief executive of Source Perrier, said the chemical impurities within the natural gas at the company's spring in Vergeze were usually filtered out before the popular beverage was bottled. But because plant workers there failed to replace filters as scheduled, minute quantities of benzene entered the production process, Mr. Zimmer said. 
 The company had previously said that a worker had mistakenly used a cleaning agent containing benzene to clean some production equipment. 
 Benzene, a highly toxic chemical, is a well-known industrial solvent that is made commercially from petroleum. But the chemical also occurs naturally both in drinking and subsurface waters at concentrations up to 10 parts per million. The chemical is a colorless liquid with a distinctive odor. 
 Underground water travels upward through a series of geological strata, including layers of marl, a mixture of sand, clay and limestone. 
 Natural carbon dioxide gas also rises from separate pockets below the water. That gas enters the spring and is drawn off and used to carbonate the beverage as it is bottled, said Jane Lazgin, a spokeswoman for the Perrier Group of America, which distributes the beverage in the United States. The gas is cleaned by passing through charcoal filters intended to remove impurities. 
 Ms. Lazgin said she did not know how often filters were replaced. Tests run in the United States indicated that the beverage had been contaminated with benzene for about six months. 
 The popular drink derives its name from Dr. Louis Perrier, a French physician and entrepreneur. It was Dr. Perrier and St. John Harmsworth, an English aristocrat, who joined in 1903 to help make the spring a thriving commercial enterprise."
"93","Noriega Kin Leave Panama",331894,"|world",4,3,1990,"19900304T000000","|PANAMA|CUBA|DOMINICAN REPUBLIC"," 
 The family of the deposed Panamanian military leader, Gen. Manuel Antonio Noriega, arrived today in Havana after being granted safe passage by the Panamanian Government, a Mexican news agency reported. The agency said General Noriega's wife, three daughters and grandson would travel to the Dominican Republic, where they have been granted asylum and where the general's son-in-law is a citizen."
"94","Looking Ahead",343680,"|business",15,4,1990,"19900415T000000",NA," 
 MONDAY: I.B.M. reports first-quarter earnings. 
 A suit brought by Robert Kearns, who won a patent infringement verdict against Ford for his windshield-wiper design, proceeds to consideration of damages. 
 TUESDAY: Consumer prices for March. 
 Housing starts for March. 
 Robert Freeman, a former executive of Goldman, Sachs faces sentencing for insider trading. 
 MONDAY: I.B.M. reports first-quarter earnings. 
 A suit brought by Robert Kearns, who won a patent infringement verdict against Ford for his windshield-wiper design, proceeds to consideration of damages. 
 TUESDAY: Consumer prices for March. 
 Housing starts for March. 
 Robert Freeman, a former executive of Goldman, Sachs faces sentencing for insider trading. 
 Chicago Mercantile Exchange members vote on restrictions on trading financial futures. 
 WEDNESDAY: Merchandise trade balance for February. 
 THURSDAY: State per capita income for 1989, fourth quarter. 
 FRIDAY: Federal budget statement for March."
"95","RESULTS PLUS",351748,"|sports",9,5,1990,"19900509T000000",NA," 
 CYCLING 
 Bishop Is Winner of Seventh Stage 
 In a bravado performance, Andy Bishop of Tucson, Ariz., rode far in front for the last 70 miles yesterday and won the seventh stage of the Tour de Trump race. The 11-day race will end Sunday in Boston. For the fourth consecutive day, Vycheslav Bobrik, a 19-year-old Soviet amateur, was the overall leader. 
 CYCLING 
 Bishop Is Winner of Seventh Stage 
 In a bravado performance, Andy Bishop of Tucson, Ariz., rode far in front for the last 70 miles yesterday and won the seventh stage of the Tour de Trump race. The 11-day race will end Sunday in Boston. For the fourth consecutive day, Vycheslav Bobrik, a 19-year-old Soviet amateur, was the overall leader. He remained 2 minutes 43 seconds ahead of Raul Alcala of Mexico and PDM, and 2:59 ahead of Steve Bauer of Fenwick, Ontario, and 7-Eleven. The day's race covered 141.8 miles from Winchester, Va., to Harrisburg, Pa. A stiff tailwind helped Bishop cover the final 200 kilometers (124.8 miles) in 5 hours 2 minutes 27 seconds. The 24-year-old Bishop rides for the Spago team, sponsored by Wolfgang Puck, a Los Angeles restaurateur. He finished 3:39 ahead of Philippe Casado of France and the Z/Kickers team. Third place went to Nate Reiss, an amateur from Boulder, Colo., and the Subaru-Montgomery team. 
 TENNIS 
 Chang Loses His Opening Match 
 Michael Chang, who is preparing to defend his French Open title in three weeks, lost his opening match for the second time in two weeks yesterday when he was eliminated from the German Open in Hamburg, West Germany. Juan Aguilera of Spain scored a 6-3, 6-2 victory over Chang, who was playing in only his sixth match since recovering from a hip injury. The match lasted 80 minutes. ''Aguilera played well and I missed a few shots, and on clay sometimes that's all it takes,'' said Chang, who lost to Petr Korda of Czechoslovakia in the opening round of the BMW Open in Munich, West Germany, last week. Top-seeded Boris Becker struggled early but recovered and rolled past Paolo Cane of Italy, 7-5, 6-1, to reach the third round of the $1 million tournament.(AP) 
 Sabatini Advances: Gabriela Sabatini of Argentina displayed championship form at the Italian Open in Rome, where she has won the title for two consecutive years. Sabatini, down by 5-6 in the opening set, rebounded for a 7-6, 6-0 victory yesterday over Ann Grossman of Grove City, Ohio. Monica Seles, seeded second, joined Sabatini in the third round by defeating Radka Zrubakova of Czechoslovakia, 6-4, 6-1. Top-seeded Martina Navratilova teamed with 14-year-old Jennifer Capriati in doubles to beat Tracy Morton and Kate McDonald of Australia, 6-2, 5-7, 6-4.(AP) 
 Kaplan Upsets Goldie: Fifth-seeded Dan Goldie became another first-round upset victim yesterday at the $230,000 United States clay-court championships at Kiawah Island, S.C. Unseeded Mark Kaplan beat Goldie, 6-3, 3-6, 6-3. Three of the tournament's top eight playerrs have been eliminated in the first round. Kaplan is ranked No. 168 in the world and Goldie is the highest-ranked player he has defeated.(AP)"
